DEPKIDBC,A1564UBC,A6599UCF,AGODCUBC,AGYDCUBC,PRSNSUBC,NUCCIUBC,CCSHIUBC,ATTYIUBC,CEPKIUBC,TENREPCF,LNDLDIUC,KID0T2BC,KID3T4BC,KID5T9BC,KID1524B,USATIUBC,ABSFID,ABSIID,CTUSUCIU,IOBTCUF,NOEMPIBC,PSRC4PU,PSRC8PU,IOBTPUF,PSRCSCU,PSRCSCU8,UHRSCCIU,USEFCCIU,ICCL4WIU,TYPFCIUA,TYPFCIUB,TYPFCIUC,TYPFCIUD,TYPFCIUE,TYPFCIUF,KD1014BC,IUTYPE,UHRICIU,IURENT,ITGCBCU6,INVESTCU,INVESCU8,OTHSRCU,OTHSRCU8,ISUPERCU,IOBTCU,INCTOTPU,INCTOPU8,IWSTPU,IWSTPU8,ITGCBPU,INVESTPU,INVESPU8,OTHSRPU,OTHSRPU8,IOBTPU,ISUPERPU,IWSSUCU,UHRSFCIU,HRSPSIU,INCTSCU,INCTSCU8,IWSUCU8,ITGCBCU8,FINSCOPU,ABSPID,SIHIUWT,WUS0101,WUS0102,WUS0103,WUS0104,WUS0105,WUS0106,WUS0107,WUS0108,WUS0109,WUS0110,WUS0111,WUS0112,WUS0113,WUS0114,WUS0115,WUS0116,WUS0117,WUS0118,WUS0119,WUS0120,WUS0121,WUS0122,WUS0123,WUS0124,WUS0125,WUS0126,WUS0127,WUS0128,WUS0129,WUS0130,WUS0131,WUS0132,WUS0133,WUS0134,WUS0135,WUS0136,WUS0137,WUS0138,WUS0139,WUS0140,WUS0141,WUS0142,WUS0143,WUS0144,WUS0145,WUS0146,WUS0147,WUS0148,WUS0149,WUS0150,WUS0151,WUS0152,WUS0153,WUS0154,WUS0155,WUS0156,WUS0157,WUS0158,WUS0159,WUS0160,LEVELIU,CWKCRAIU,WKLYCCBU,WKLYCCRU,COSTICIU,WKLYPSIU,COSTCCIU,COSTFCIU,ABSHID,ABSLID
2,2,0,4,3,4,0,0,1,0,3,0,0,0,1,0,0,1,1,0,1,2,1,1,1,2,2,0,2,2,7,0,0,0,0,0,1,1,0,275,75.44,0.77,0.77,0,0,0,1150,53540,53540,27000,27000,1500,40,40,0,0,25000,0,0,0,0,1226.21,1226.21,0,75.44,1,00,189.15554459,201.00268555,172.296875,212.46289063,200.02819824,191.13269043,196.40100098,192.36853027,0,198.87890625,193.59484863,189.61474609,195.16564941,201.57312012,191.04724121,186.12182617,194.78381348,191.40795898,181.78222656,187.65979004,179.51330566,198.19213867,198.3371582,192.84082031,183.10559082,197.43615723,177.20068359,199.35205078,188.20568848,178.60986328,185.50549316,186.17272949,192.46325684,197.92724609,188.08007813,188.33117676,180.49853516,208.25915527,186.28918457,195.48327637,191.00622559,192.95373535,179.61254883,191.8326416,185.30090332,198.98449707,200.26660156,195.2010498,191.18945313,199.125,199.64257813,187.46362305,186.06347656,204.35546875,188.30749512,191.09448242,185.67675781,194.48583984,185.87365723,192.77941895,204.80651855,3,0,0,0,0,0,0,0,SIH13E8999998,00
0,1,1,0,0,2,0,0,0,0,3,4,0,0,0,0,0,2,1,0,0,0,3,3,0,3,3,0,2,2,9,0,0,0,0,0,0,2,0,275,585.98,0.48,0.48,0,0,0,0,26215,26215,0,0,22190,25,25,4000,4000,0,0,0,0,0,586.46,586.46,0,585.98,2,00,189.15554459,201.00268555,172.296875,212.46289063,200.02819824,191.13269043,196.40100098,192.36853027,0,198.87890625,193.59484863,189.61474609,195.16564941,201.57312012,191.04724121,186.12182617,194.78381348,191.40795898,181.78222656,187.65979004,179.51330566,198.19213867,198.3371582,192.84082031,183.10559082,197.43615723,177.20068359,199.35205078,188.20568848,178.60986328,185.50549316,186.17272949,192.46325684,197.92724609,188.08007813,188.33117676,180.49853516,208.25915527,186.28918457,195.48327637,191.00622559,192.95373535,179.61254883,191.8326416,185.30090332,198.98449707,200.26660156,195.2010498,191.18945313,199.125,199.64257813,187.46362305,186.06347656,204.35546875,188.30749512,191.09448242,185.67675781,194.48583984,185.87365723,192.77941895,204.80651855,3,59.4,0,0,0,0,0,0,SIH13E8999998,00
0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,2,1,1,0,1,1,0,2,2,9,0,0,0,0,0,0,2,0,0,0,8.82,8.82,0,0,0,0,108279.7,112279.7,108000,112000,0,279.7,279.7,0,0,0,0,2200,0,0,2208.82,2400.61,2391.79,0,2,00,131.31873053,0,133.22290039,130.78356934,130.90087891,129.65307617,133.91650391,131.2142334,136.62316895,135.85595703,137.86914063,132.38195801,127.68286133,130.3269043,131.84411621,131.14160156,138.00805664,133.31311035,135.91918945,132.80224609,130.91687012,128.71533203,132.21655273,131.97558594,129.42614746,133.29748535,131.99523926,132.57202148,130.63781738,137.42565918,137.84082031,130.18981934,131.68969727,139.29138184,133.29345703,133.54284668,134.66003418,133.94519043,140.40356445,132.41894531,131.31982422,134.13684082,131.48132324,138.55712891,132.22570801,134.73547363,137.85205078,127.61120605,135.13171387,137.83605957,129.77978516,132.0949707,131.45263672,133.61474609,130.6361084,142.30725098,140.91125488,141.68994141,134.98693848,137.39404297,130.57299805,3,0,0,0,0,0,0,0,SIH13E8999997,00
0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,4,4,0,3,3,0,2,2,9,0,0,0,0,0,0,2,0,0,712.56,1.92,1.92,0,0,0,0,76190,76190,0,0,36190,40000,40000,0,0,0,0,0,0,0,714.48,714.48,0,712.56,2,00,1281.430495,1280.1826172,1288.7626953,1279.90625,1309.8486328,1339.9912109,1281.4052734,1316.8105469,1320.5019531,1292.7871094,1313.6494141,1278.2119141,1296.6552734,1273.859375,1290.0625,1285.4033203,1347.5830078,1295.4609375,1312.3320313,1320.6572266,1301.2255859,1289.5566406,1311.5615234,1297.5263672,1292.421875,1328.875,1274.9892578,1302.5517578,1332.9082031,1325.1689453,1277.7353516,1311.4462891,1303.9501953,1330.6083984,1262.3398438,1269.6357422,1317.0078125,1295.328125,1358.6445313,1306.4023438,0,1303.7880859,1281.0732422,1296.6103516,1309.8378906,1303.9912109,1291.1132813,1302.8056641,1323.75,1272.1894531,1321.8222656,1322.2714844,1299.375,1273.4873047,1313.7060547,1357.546875,1287.0009766,1288.7490234,1343.3857422,1259.6826172,1328.3789063,3,0,0,0,0,0,0,0,SIH13E8999996,00
0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,3,3,0,3,3,0,2,2,9,0,0,0,0,0,0,4,0,115,239.24,5.75,5.75,0,0,0,0,15460,15460,0,0,15160,300,300,0,0,0,0,0,0,0,244.99,244.99,0,239.24,2,00,1281.430495,1280.1826172,1288.7626953,1279.90625,1309.8486328,1339.9912109,1281.4052734,1316.8105469,1320.5019531,1292.7871094,1313.6494141,1278.2119141,1296.6552734,1273.859375,1290.0625,1285.4033203,1347.5830078,1295.4609375,1312.3320313,1320.6572266,1301.2255859,1289.5566406,1311.5615234,1297.5263672,1292.421875,1328.875,1274.9892578,1302.5517578,1332.9082031,1325.1689453,1277.7353516,1311.4462891,1303.9501953,1330.6083984,1262.3398438,1269.6357422,1317.0078125,1295.328125,1358.6445313,1306.4023438,0,1303.7880859,1281.0732422,1296.6103516,1309.8378906,1303.9912109,1291.1132813,1302.8056641,1323.75,1272.1894531,1321.8222656,1322.2714844,1299.375,1273.4873047,1313.7060547,1357.546875,1287.0009766,1288.7490234,1343.3857422,1259.6826172,1328.3789063,3,0,0,0,0,0,0,0,SIH13E8999996,00
0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,3,0,0,0,3,3,0,3,3,0,2,2,9,0,0,0,0,0,0,4,0,115,321.45,5.75,5.75,0,0,0,0,16300,16300,0,0,16000,300,300,0,0,0,0,0,0,0,327.2,327.2,0,321.45,2,00,1281.430495,1280.1826172,1288.7626953,1279.90625,1309.8486328,1339.9912109,1281.4052734,1316.8105469,1320.5019531,1292.7871094,1313.6494141,1278.2119141,1296.6552734,1273.859375,1290.0625,1285.4033203,1347.5830078,1295.4609375,1312.3320313,1320.6572266,1301.2255859,1289.5566406,1311.5615234,1297.5263672,1292.421875,1328.875,1274.9892578,1302.5517578,1332.9082031,1325.1689453,1277.7353516,1311.4462891,1303.9501953,1330.6083984,1262.3398438,1269.6357422,1317.0078125,1295.328125,1358.6445313,1306.4023438,0,1303.7880859,1281.0732422,1296.6103516,1309.8378906,1303.9912109,1291.1132813,1302.8056641,1323.75,1272.1894531,1321.8222656,1322.2714844,1299.375,1273.4873047,1313.7060547,1357.546875,1287.0009766,1288.7490234,1343.3857422,1259.6826172,1328.3789063,3,0,0,0,0,0,0,0,SIH13E8999996,00
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,50,1,0,0,0,4,4,0,4,4,0,2,2,9,0,0,0,0,0,0,4,0,0,0,138.73,138.73,0,0,751.5,0,45117.77,45117.77,0,0,0,8117.77,8117.77,0,0,0,37000,0,0,0,890.23,890.23,0,0,2,00,134.45283517,135.05187988,135.80102539,138.1159668,0,138.33850098,137.60461426,133.00805664,141.10791016,142.10827637,135.97912598,136.08166504,133.44873047,134.88000488,134.29296875,136.56604004,135.99633789,145.3248291,136.88098145,143.11938477,130.17370605,140.69006348,135.22290039,137.5222168,135.07849121,129.60766602,132.65942383,135.67993164,134.43408203,134.34375,134.6072998,142.64855957,141.77258301,143.2175293,138.51574707,135.06359863,133.56567383,140.39611816,138.34350586,141.63195801,132.00244141,138.10314941,138.7989502,134.49536133,132.36254883,132.2064209,130.47021484,136.08312988,143.38232422,137.23376465,134.00488281,131.28796387,134.07958984,136.86413574,141.41308594,131.19140625,145.13244629,135.00073242,134.31689453,137.84973145,137.94616699,3,0,0,0,0,0,0,0,SIH13E8999995,00
1,1,0,1,1,2,1,1,0,0,3,0,1,0,0,0,0,1,1,0,0,0,3,3,0,3,3,48,2,1,7,0,0,0,0,0,0,3,48,200,536.78,0,0,57.54,57.54,0,0,26190,26190,0,0,26190,0,0,0,0,0,0,0,0,0,594.32,594.32,0,536.78,1,00,536.0201709,547.04638672,577.91650391,564.76513672,524.70703125,539.31835938,546.69238281,563.12060547,532.73974609,552.1328125,545.82519531,526.65234375,576.38671875,545.90722656,533.90673828,524.17285156,531.42724609,540.69140625,550.36767578,565.68212891,0,563.04882813,552.79248047,534.70605469,556.51660156,554.30957031,541.65625,547.10253906,557.86865234,533.2421875,560.80957031,552.38183594,527.49414063,559.29980469,553.56982422,523.9375,525.91992188,575.17089844,532.98779297,529.00390625,549.36523438,560.14404297,526.21728516,539.90087891,563.51171875,550.81152344,555.40136719,554.51318359,540.73339844,542.94970703,525.38867188,550.95703125,548.49169922,539.61083984,550.09277344,520.49072266,541.56884766,537.06298828,537.49316406,540.20263672,516.2578125,3,74,0,0,0,0,0,0,SIH13E8999994,00
2,2,0,4,3,4,0,0,1,0,2,0,0,0,1,0,0,1,1,0,0,2,1,1,0,1,1,0,2,2,7,0,0,0,0,0,1,1,0,0,24.6,2.71,2.71,0,0,0,0,106458.69,106458.69,105000,105000,1458.69,0,0,0,0,0,0,2209,0,0,2236.31,2572.24,2544.93,24.6,2,00,1606.9300975,1603.7675781,1665.5195313,1596.0927734,1605.2626953,1629.3828125,1671.1865234,1618.2734375,1630.3066406,1656.5283203,1606.0351563,1598.1689453,1632.0771484,1644.2861328,1595.1220703,1602.0214844,1666.5,1597.1201172,1614.75,0,1594.2158203,1605.2578125,1664.2373047,1600.6806641,1627.7119141,1580.5917969,1654.4150391,1563.6523438,1650.1367188,1683.9160156,1640.6533203,1638.0136719,1690.5273438,1605.296875,1642.6269531,1690.703125,1672.9589844,1626.4550781,1662.8525391,1637.2041016,1672.6767578,1605.7119141,1616.2128906,1623.4580078,1612.6777344,1617.0419922,1662.328125,1646.7041016,1603.0380859,1686.8613281,1610.4248047,1661.9853516,1612.5644531,1655.3535156,1627.5625,1647.5576172,1652.5166016,1656.0683594,1672.7558594,1668.6816406,1628.3837891,3,0,0,0,0,0,0,0,SIH13E8999993,00
0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,4,4,0,4,4,0,2,2,9,0,0,0,0,0,0,2,0,0,35.12,1490.37,1490.37,0,0,0,0,94192.01,94192.01,0,0,1790,92402.01,92402.01,0,0,0,0,0,0,0,1525.49,1525.49,0,35.12,2,00,526.13307037,549.09960938,510.30419922,519.46972656,524.72705078,537.73388672,529.10644531,519.62207031,533.48291016,549.65332031,538.20019531,537.73291016,568.93261719,537.22216797,534.14208984,541.5859375,521.05664063,531.98144531,530.4453125,0,535.56005859,535.32080078,539.21875,509.16137695,528.78759766,530.79541016,518.26953125,537.38037109,543.15917969,533.12646484,524.44970703,517.50927734,514.04443359,539.51611328,529.63476563,548.15429688,552.16210938,553.93847656,529.13867188,525.23779297,560.76269531,562.43261719,533.97802734,516.17431641,570.40820313,524.625,529.06787109,531.72314453,546.31591797,526.17529297,550.83447266,546.89648438,531.02148438,543.67285156,521.55029297,530.87939453,546.953125,539.59130859,534.67724609,543.23193359,531.87353516,3,0,0,0,0,0,0,0,SIH13E8999992,00
