ABSFID,ABSLID,CURINTL,LNSECLN,MPURL,YRRPMTL,AMTOLN,WKREPLN,AMTBRLN,IMPASTA,IMPFIAC,IMPNOST,IMPNSTA,IMPSTAT,SIHLNWT,WLN0101,WLN0102,WLN0103,WLN0104,WLN0105,WLN0106,WLN0107,WLN0108,WLN0109,WLN0110,WLN0111,WLN0112,WLN0113,WLN0114,WLN0115,WLN0116,WLN0117,WLN0118,WLN0119,WLN0120,WLN0121,WLN0122,WLN0123,WLN0124,WLN0125,WLN0126,WLN0127,WLN0128,WLN0129,WLN0130,WLN0131,WLN0132,WLN0133,WLN0134,WLN0135,WLN0136,WLN0137,WLN0138,WLN0139,WLN0140,WLN0141,WLN0142,WLN0143,WLN0144,WLN0145,WLN0146,WLN0147,WLN0148,WLN0149,WLN0150,WLN0151,WLN0152,WLN0153,WLN0154,WLN0155,WLN0156,WLN0157,WLN0158,WLN0159,WLN0160,LEVELLN,ABSHID,ABSIID,ABSPID
00,1,0,2,5,0,12500,0,22000,0,0,0,0,0,189.15554459,201.00268555,172.296875,212.46289063,200.02819824,191.13269043,196.40100098,192.36853027,0,198.87890625,193.59484863,189.61474609,195.16564941,201.57312012,191.04724121,186.12182617,194.78381348,191.40795898,181.78222656,187.65979004,179.51330566,198.19213867,198.3371582,192.84082031,183.10559082,197.43615723,177.20068359,199.35205078,188.20568848,178.60986328,185.50549316,186.17272949,192.46325684,197.92724609,188.08007813,188.33117676,180.49853516,208.25915527,186.28918457,195.48327637,191.00622559,192.95373535,179.61254883,191.8326416,185.30090332,198.98449707,200.26660156,195.2010498,191.18945313,199.125,199.64257813,187.46362305,186.06347656,204.35546875,188.30749512,191.09448242,185.67675781,194.48583984,185.87365723,192.77941895,204.80651855,6,SIH13E8999998,0,00
00,2,0,3,7,0,7722,0,22994,0,0,0,0,0,189.15554459,201.00268555,172.296875,212.46289063,200.02819824,191.13269043,196.40100098,192.36853027,0,198.87890625,193.59484863,189.61474609,195.16564941,201.57312012,191.04724121,186.12182617,194.78381348,191.40795898,181.78222656,187.65979004,179.51330566,198.19213867,198.3371582,192.84082031,183.10559082,197.43615723,177.20068359,199.35205078,188.20568848,178.60986328,185.50549316,186.17272949,192.46325684,197.92724609,188.08007813,188.33117676,180.49853516,208.25915527,186.28918457,195.48327637,191.00622559,192.95373535,179.61254883,191.8326416,185.30090332,198.98449707,200.26660156,195.2010498,191.18945313,199.125,199.64257813,187.46362305,186.06347656,204.35546875,188.30749512,191.09448242,185.67675781,194.48583984,185.87365723,192.77941895,204.80651855,6,SIH13E8999998,0,00
00,1,4.31,1,1,2011,153714,205,164456,0,1,1,0,0,131.31873053,0,133.22290039,130.78356934,130.90087891,129.65307617,133.91650391,131.2142334,136.62316895,135.85595703,137.86914063,132.38195801,127.68286133,130.3269043,131.84411621,131.14160156,138.00805664,133.31311035,135.91918945,132.80224609,130.91687012,128.71533203,132.21655273,131.97558594,129.42614746,133.29748535,131.99523926,132.57202148,130.63781738,137.42565918,137.84082031,130.18981934,131.68969727,139.29138184,133.29345703,133.54284668,134.66003418,133.94519043,140.40356445,132.41894531,131.31982422,134.13684082,131.48132324,138.55712891,132.22570801,134.73547363,137.85205078,127.61120605,135.13171387,137.83605957,129.77978516,132.0949707,131.45263672,133.61474609,130.6361084,142.30725098,140.91125488,141.68994141,134.98693848,137.39404297,130.57299805,6,SIH13E8999997,0,00
00,1,0,3,5,0,6000,0,10000,0,0,0,0,0,536.0201709,547.04638672,577.91650391,564.76513672,524.70703125,539.31835938,546.69238281,563.12060547,532.73974609,552.1328125,545.82519531,526.65234375,576.38671875,545.90722656,533.90673828,524.17285156,531.42724609,540.69140625,550.36767578,565.68212891,0,563.04882813,552.79248047,534.70605469,556.51660156,554.30957031,541.65625,547.10253906,557.86865234,533.2421875,560.80957031,552.38183594,527.49414063,559.29980469,553.56982422,523.9375,525.91992188,575.17089844,532.98779297,529.00390625,549.36523438,560.14404297,526.21728516,539.90087891,563.51171875,550.81152344,555.40136719,554.51318359,540.73339844,542.94970703,525.38867188,550.95703125,548.49169922,539.61083984,550.09277344,520.49072266,541.56884766,537.06298828,537.49316406,540.20263672,516.2578125,6,SIH13E8999994,0,00
00,1,5.48,1,1,2005,156000,281,199521,0,1,1,0,0,1606.9300975,1603.7675781,1665.5195313,1596.0927734,1605.2626953,1629.3828125,1671.1865234,1618.2734375,1630.3066406,1656.5283203,1606.0351563,1598.1689453,1632.0771484,1644.2861328,1595.1220703,1602.0214844,1666.5,1597.1201172,1614.75,0,1594.2158203,1605.2578125,1664.2373047,1600.6806641,1627.7119141,1580.5917969,1654.4150391,1563.6523438,1650.1367188,1683.9160156,1640.6533203,1638.0136719,1690.5273438,1605.296875,1642.6269531,1690.703125,1672.9589844,1626.4550781,1662.8525391,1637.2041016,1672.6767578,1605.7119141,1616.2128906,1623.4580078,1612.6777344,1617.0419922,1662.328125,1646.7041016,1603.0380859,1686.8613281,1610.4248047,1661.9853516,1612.5644531,1655.3535156,1627.5625,1647.5576172,1652.5166016,1656.0683594,1672.7558594,1668.6816406,1628.3837891,6,SIH13E8999993,0,00
00,1,5.56,1,1,2008,331871,1013,500000,0,0,0,0,0,629.87186958,617.78417969,666.69091797,0,623.98779297,667.17285156,633.34082031,602.41796875,694.6953125,636.3046875,627.66845703,736.09179688,622.59619141,618.99462891,748.41894531,608.70068359,560.56640625,664.79736328,599.99560547,624.60253906,717.54052734,621.73046875,699.42822266,634.75292969,622.64453125,623.56689453,631.29736328,701.19140625,640.99023438,662.47216797,650.86376953,685.10693359,649.27001953,637.12011719,619.20019531,671.64697266,673.64501953,583.81933594,636.69140625,635.54199219,646.36816406,614.06494141,613.18994141,640.13330078,609.20361328,661.79443359,695.27880859,617.00244141,615.36328125,675.19238281,588.32421875,607.52929688,630.59521484,648.39355469,623.85253906,642.47412109,584.04589844,591.47363281,598.85595703,680.32226563,662.38769531,6,SIH13E8999988,0,00
00,1,5.81,1,1,1997,52716,159,109433,0,1,1,0,0,519.62361548,494.51464844,527.34472656,527.48583984,518.54443359,503.84667969,512.32080078,536.11328125,525.94189453,531.890625,512.65917969,531.42529297,510.28491211,553.31591797,547.97900391,529.00830078,506.80761719,507.86132813,547.04003906,568.13183594,525.48681641,544.19677734,532.97851563,527.15771484,521.47705078,551.33496094,529.74023438,553.44775391,551.69726563,533.22167969,530.48779297,524.56835938,520.64453125,516.84130859,533.61914063,539.47558594,517.37109375,538.68603516,531.29931641,539.09765625,515.49121094,543.73144531,505.29370117,539.16259766,538.42675781,541.49023438,504.35253906,547.49267578,499.33007813,527.84716797,511.50585938,519.34082031,532.52685547,520.16894531,521.08203125,522.69433594,524.91503906,535.07568359,0,533.40820313,535.79736328,6,SIH13E8999987,0,00
00,1,5.18,1,3,2012,63642,300,70000,0,0,0,0,0,118.73565489,117.12249756,119.7434082,117.12158203,118.70843506,124.65148926,118.05975342,135.14404297,116.21386719,122.40124512,120.23150635,117.92254639,118.40661621,133.54785156,121.89251709,120.61743164,117.35687256,116.17700195,122.66912842,114.69018555,133.39038086,117.89813232,119.21282959,117.47015381,117.02496338,127.85595703,131.41784668,114.5927124,121.00805664,117.49920654,121.97021484,0,116.77301025,116.14672852,123.7041626,117.25872803,115.51434326,118.9911499,117.93731689,117.82501221,120.09985352,123.0222168,116.05224609,120.61187744,118.72894287,115.35339355,129.57763672,118.01611328,121.54376221,120.65924072,117.14672852,119.8260498,128.17480469,117.76953125,123.15075684,123.35955811,123.19122314,121.3793335,120.83862305,119.47503662,121.00543213,6,SIH13E8999984,0,00
00,1,0,2,5,0,8000,0,10000,0,0,0,0,0,161.77894682,180.73376465,181.67785645,176.51672363,178.05932617,166.28515625,179.84094238,168.83081055,181.84448242,169.08508301,156.01586914,173.88049316,178.68945313,177.7064209,158.83447266,151.12719727,150.42382813,165.38586426,181.37866211,135.48010254,164.64550781,160.34790039,175.68640137,165.04748535,0,177.2310791,163.86254883,140.90124512,177.0925293,162.2088623,147.48339844,140.76379395,96.120422363,187.38391113,172.2097168,158.46704102,113.3739624,172.25769043,176.42370605,160.26037598,186.03173828,167.4552002,143.86572266,166.58374023,136.74389648,60.808288574,147.61108398,184.08557129,169.88122559,111.58837891,166.10400391,152.61706543,172.42358398,165.13183594,170.30249023,137.53845215,162.34008789,126.56695557,183.29370117,178.97045898,142.1776123,6,SIH13E8999982,0,00
00,1,0,2,5,0,20000,0,20000,0,0,0,0,0,125.94287327,125.32727051,124.64147949,127.77874756,129.16625977,138.1451416,127.59033203,124.9708252,137.24987793,133.80078125,124.96270752,126.64599609,140.70397949,0,129.76477051,125.61364746,128.47937012,126.28570557,122.04882813,125.79638672,127.14074707,137.51257324,125.00738525,123.40539551,126.24578857,127.19763184,129.91479492,128.89819336,125.74591064,125.69482422,123.98071289,123.25463867,132.52368164,131.44958496,125.31500244,126.26049805,125.02893066,123.59558105,126.05566406,129.9510498,130.41894531,124.97302246,126.85473633,127.00390625,126.59326172,133.34594727,134.74768066,136.17272949,133.36865234,124.22845459,131.16906738,126.67272949,125.99145508,131.96569824,118.85760498,129.70654297,121.11956787,133.30078125,116.41070557,126.01800537,126.87884521,6,SIH13E8999981,0,00
